ID,Groupx2,AGELT50,Test,Coherence,Reaction Time,Confidence,Correct
2201,1,2,test0,0.025,2332, ,1
2201,1,2,test0,0.025,1291, ,2
2201,1,2,test0,0.050,5943, ,1
2201,1,2,test0,0.050,1846, ,2
2201,1,2,test0,0.100,2083, ,1
2201,1,2,test0,0.100,1322, ,2
2201,1,2,test0,0.150,1949, ,2
2201,1,2,test0,0.150,4123, ,2
2201,1,2,test0,0.250,1426, ,1
2201,1,2,test0,0.250,1257, ,1
2201,1,2,test0,0.350,1493, ,1
2201,1,2,test0,0.350,1851, ,1
2201,1,2,test0,0.450,2075, ,2
2201,1,2,test0,0.450,4495, ,2
2201,1,2,test0,0.700,1671, ,1
2201,1,2,test0,0.700,899, ,1
2201,1,2,test1,0.025,10015, , 
2201,1,2,test1,0.025,4755, ,1
2201,1,2,test1,0.025,4182, ,1
2201,1,2,test1,0.025,3267, ,1
2201,1,2,test1,0.025,4355, ,1
2201,1,2,test1,0.025,2936, ,1
2201,1,2,test1,0.025,4057, ,1
2201,1,2,test1,0.025,5332, ,2
2201,1,2,test1,0.025,7383, ,2
2201,1,2,test1,0.025,4829, ,2
2201,1,2,test1,0.025,5878, ,2
2201,1,2,test1,0.025,4788, ,2
2201,1,2,test1,0.025,2271, ,2
2201,1,2,test1,0.025,2081, ,2
2201,1,2,test1,0.025,2942, ,2
2201,1,2,test1,0.025,2518, ,2
2201,1,2,test1,0.025,3890, ,2
2201,1,2,test1,0.025,6810, ,2
2201,1,2,test1,0.025,3148, ,2
2201,1,2,test1,0.025,3307, ,2
2201,1,2,test1,0.050,3051, ,1
2201,1,2,test1,0.050,2347, ,1
2201,1,2,test1,0.050,1653, ,1
2201,1,2,test1,0.050,3889, ,1
2201,1,2,test1,0.050,4415, ,2
2201,1,2,test1,0.050,5014, ,2
2201,1,2,test1,0.050,3318, ,2
2201,1,2,test1,0.050,3325, ,2
2201,1,2,test1,0.050,4817, ,2
2201,1,2,test1,0.050,3773, ,2
2201,1,2,test1,0.050,4186, ,2
2201,1,2,test1,0.050,3416, ,2
2201,1,2,test1,0.050,3056, ,2
2201,1,2,test1,0.050,1387, ,2
2201,1,2,test1,0.050,2058, ,2
2201,1,2,test1,0.050,2059, ,2
2201,1,2,test1,0.050,2291, ,2
2201,1,2,test1,0.050,2056, ,2
2201,1,2,test1,0.050,2057, ,2
2201,1,2,test1,0.050,1435, ,2
2201,1,2,test1,0.100,2857, ,1
2201,1,2,test1,0.100,2166, ,1
2201,1,2,test1,0.100,4744, ,2
2201,1,2,test1,0.100,2838, ,2
2201,1,2,test1,0.100,5370, ,2
2201,1,2,test1,0.100,3650, ,2
2201,1,2,test1,0.100,4333, ,2
2201,1,2,test1,0.100,2410, ,2
2201,1,2,test1,0.100,2919, ,2
2201,1,2,test1,0.100,4249, ,2
2201,1,2,test1,0.100,2521, ,2
2201,1,2,test1,0.100,1475, ,2
