ID,DATE1,AGE1,GENDER,DQ1,DQ2,DQ3R,DQ4,DQ5,DQ6,DQ7,DQ8,DQ9,DQ10,DQ11,DQ12,DQ13,DQ14,DQ15,DQ16,DQ17,DQ18,DQSCORE1,DATE2,DQ1_2,DQ2_2,DQ3R_2,DQ4_2,DQ5_2,DQ6_2,DQ7_2,DQ8_2,DQ9_2,DQ10_2,DQ11_2,DQ12_2,DQ13_2,DQ14_2,DQ15_2,DQ16_2,DQ17_2,DQ18_2,DQSCORE2,TIMEDIFFDAYS
101,5-Oct-18,22,1,4,3,2,4,4,4,2,2,1,4,4,4,2,4,3,4,4,4,59,13-Nov-18,5,4,1,2,3,5,2,1,1,2,5,5,4,5,5,2,4,1,57,39
102,9-Oct-18,26,1,2,2,1,1,1,2,2,4,2,1,1,4,2,5,4,3,1,2,40,13-Nov-18,2,2,2,1,2,5,2,2,1,2,2,5,2,5,4,4,2,2,47,35
103,10-Oct-18,22,2,4,2,2,4,1,4,1,4,2,2,2,5,4,3,4,5,3,2,54,13-Nov-18,3,4,2,4,2,4,2,2,2,2,2,5,4,4,2,4,2,2,52,34
104,9-Oct-18,26,2,4,2,1,2,2,4,4,2,3,1,2,4,2,2,2,3,2,3,45,14-Nov-18,2,1,2,2,4,4,4,4,2,1,2,4,3,4,2,4,2,2,49,36
106,9-Oct-18,57,1,5,2,2,4,2,4,2,3,1,1,1,4,3,4,3,3,2,1,47,13-Nov-18,4,1,2,3,4,4,2,3,2,2,2,4,4,4,3,3,2,2,51,35
107,9-Oct-18,28,2,2,2,2,2,1,4,4,4,2,2,2,5,2,2,2,4,2,1,45,13-Nov-18,4,1,2,2,2,4,2,1,1,2,1,5,2,2,2,2,2,1,38,35
108,9-Oct-18,25,2,2,4,1,1,2,4,5,1,2,4,4,4,4,2,4,1,1,1,47,13-Nov-18,2,4,2,1,1,2,5,2,1,2,4,4,2,2,1,2,2,1,40,35
110,10-Oct-18,30,2,5,1,1,5,1,4,5,5,4,4,5,5,4,1,1,4,4,4,63,19-Nov-18,5,3,1,1,1,5,5,5,3,5,5,5,1,5,5,1,3,3,62,40
111,12-Oct-18,25,1,4,2,3,2,2,2,5,1,1,4,2,5,5,1,1,3,2,1,46,13-Nov-18,4,1,2,2,4,5,5,4,3,1,1,5,5,1,1,4,4,2,54,32
112,10-Oct-18,22,1,2,2,2,1,1,1,2,2,1,2,1,4,1,1,1,1,1,1,27,13-Nov-18,5,2,1,2,1,4,2,3,1,1,1,4,3,1,1,3,2,1,38,34
114,9-Oct-18,27,2,4,3,2,2,3,3,5,4,1,1,3,5,1,5,5,2,3,1,53,13-Nov-18,5,2,1,2,2,5,5,5,1,2,2,5,1,5,5,2,1,1,52,35
116,10-Oct-18,23,1,4,4,3,4,4,3,2,4,2,4,4,4,2,2,1,3,4,3,57,14-Nov-18,4,3,2,1,4,4,2,2,1,3,5,4,2,4,4,3,3,2,53,35
117,10-Oct-18,19,1,5,4,2,2,4,4,3,4,3,3,3,4,4,5,4,4,3,2,63,13-Nov-18,4,4,3,4,4,4,4,4,4,3,3,4,4,5,3,4,4,4,69,34
118,10-Oct-18,18,2,4,5,1,2,4,2,1,1,4,2,4,4,2,2,1,1,2,2,44,13-Nov-18,4,5,1,2,2,2,1,1,2,4,3,4,2,2,1,1,2,1,40,34
119,11-Oct-18,23,2,4,1,2,1,1,3,2,2,1,1,1,1,1,2,1,3,2,1,30,13-Nov-18,4,1,2,1,1,4,1,1,1,1,1,2,1,2,1,1,4,1,30,33
120,10-Oct-18,21,2,5,1,2,4,4,5,2,2,1,2,2,5,4,4,4,4,5,4,60,13-Nov-18,5,3,2,5,4,5,5,3,2,4,2,5,5,4,5,5,5,5,74,34
121,10-Oct-18,18,2,4,2,2,4,2,4,1,4,2,2,4,4,4,4,2,5,5,2,57,13-Nov-18,4,2,2,4,2,4,2,2,2,4,4,4,4,4,2,5,3,2,56,34
122,15-Oct-18,50,2,4,5,3,3,5,5,3,5,5,4,5,4,5,4,4,5,5,4,78,30-Nov-18,4,5,2,4,4,4,4,5,5,4,5,5,5,3,4,5,4,4,76,46
124,10-Oct-18,18,1,3,4,1,1,4,5,3,4,2,2,2,4,2,2,3,3,4,1,50,13-Nov-18,4,1,1,2,3,4,3,3,1,1,1,4,2,2,3,2,3,1,41,34
125,10-Oct-18,51,2,1,3,2,3,2,3,1,1,1,1,1,4,2,1,2,2,1,1,32,13-Nov-18,2,2,2,4,2,2,2,2,2,1,2,4,4,4,4,2,1,1,43,34
126,10-Oct-18,20,2,3,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,41,13-Nov-18,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,4,2,2,40,34
127,10-Oct-18,18,1,5,4,4,4,4,4,4,5,4,4,4,4,5,5,2,4,5,4,75,13-Nov-18,4,4,2,4,4,4,5,4,2,4,4,2,5,4,2,5,5,5,69,34
129,14-Oct-18,19,2,4,2,1,1,2,3,4,4,2,2,2,4,2,4,3,2,1,1,44,21-Nov-18,2,1,1,1,2,3,2,2,1,2,1,4,3,4,3,2,1,1,36,38
